group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
all verses find ephraim,,,,,117396509.0,ns,1
all verses find ephraim,,,,,115695516.0,ns,1
all verses find ephraim,,,,,114524680.0,ns,1
all verses find ephraim,,,,,117550425.0,ns,1
all verses find ephraim,,,,,120798769.0,ns,1
all verses find ephraim,,,,,130684818.0,ns,1
all verses find ephraim,,,,,123253045.0,ns,1
all verses find ephraim,,,,,125954934.0,ns,1
all verses find ephraim,,,,,120685885.0,ns,1
all verses find ephraim,,,,,128311750.0,ns,1
all verses find ephraim,,,,,115715764.0,ns,1
all verses find ephraim,,,,,113058102.0,ns,1
all verses find ephraim,,,,,114061946.0,ns,1
all verses find ephraim,,,,,114570475.0,ns,1
all verses find ephraim,,,,,114726499.0,ns,1
all verses find ephraim,,,,,114150116.0,ns,1
all verses find ephraim,,,,,112608578.0,ns,1
all verses find ephraim,,,,,115831315.0,ns,1
all verses find ephraim,,,,,117620640.0,ns,1
all verses find ephraim,,,,,120412404.0,ns,1
all verses find ephraim,,,,,120834300.0,ns,1
all verses find ephraim,,,,,121715471.0,ns,1
all verses find ephraim,,,,,119721648.0,ns,1
all verses find ephraim,,,,,113369938.0,ns,1
all verses find ephraim,,,,,112551426.0,ns,1
all verses find ephraim,,,,,113668641.0,ns,1
all verses find ephraim,,,,,119235677.0,ns,1
all verses find ephraim,,,,,114458319.0,ns,1
all verses find ephraim,,,,,113299367.0,ns,1
all verses find ephraim,,,,,112893814.0,ns,1
all verses find ephraim,,,,,113426420.0,ns,1
all verses find ephraim,,,,,116112294.0,ns,1
all verses find ephraim,,,,,113426314.0,ns,1
all verses find ephraim,,,,,113030202.0,ns,1
all verses find ephraim,,,,,113691947.0,ns,1
all verses find ephraim,,,,,114401669.0,ns,1
all verses find ephraim,,,,,112603828.0,ns,1
all verses find ephraim,,,,,113575278.0,ns,1
all verses find ephraim,,,,,113209902.0,ns,1
all verses find ephraim,,,,,115258943.0,ns,1
all verses find ephraim,,,,,115034248.0,ns,1
all verses find ephraim,,,,,113434452.0,ns,1
all verses find ephraim,,,,,113166477.0,ns,1
all verses find ephraim,,,,,113539418.0,ns,1
all verses find ephraim,,,,,115937914.0,ns,1
all verses find ephraim,,,,,113978108.0,ns,1
all verses find ephraim,,,,,114062053.0,ns,1
all verses find ephraim,,,,,114080484.0,ns,1
all verses find ephraim,,,,,114002418.0,ns,1
all verses find ephraim,,,,,113979484.0,ns,1
all verses find ephraim,,,,,113016223.0,ns,1
all verses find ephraim,,,,,113090025.0,ns,1
all verses find ephraim,,,,,114803534.0,ns,1
all verses find ephraim,,,,,115351150.0,ns,1
all verses find ephraim,,,,,113065907.0,ns,1
all verses find ephraim,,,,,112690125.0,ns,1
all verses find ephraim,,,,,114279565.0,ns,1
all verses find ephraim,,,,,115230982.0,ns,1
all verses find ephraim,,,,,113619817.0,ns,1
all verses find ephraim,,,,,112747063.0,ns,1
all verses find ephraim,,,,,113489901.0,ns,1
all verses find ephraim,,,,,112790856.0,ns,1
all verses find ephraim,,,,,115299855.0,ns,1
all verses find ephraim,,,,,113404632.0,ns,1
all verses find ephraim,,,,,112773473.0,ns,1
all verses find ephraim,,,,,114204986.0,ns,1
all verses find ephraim,,,,,119498296.0,ns,1
all verses find ephraim,,,,,118498382.0,ns,1
all verses find ephraim,,,,,116397822.0,ns,1
all verses find ephraim,,,,,113526396.0,ns,1
all verses find ephraim,,,,,114167168.0,ns,1
all verses find ephraim,,,,,112729451.0,ns,1
all verses find ephraim,,,,,114487475.0,ns,1
all verses find ephraim,,,,,113669147.0,ns,1
all verses find ephraim,,,,,113468347.0,ns,1
all verses find ephraim,,,,,114379290.0,ns,1
all verses find ephraim,,,,,112925584.0,ns,1
all verses find ephraim,,,,,112378149.0,ns,1
all verses find ephraim,,,,,113157640.0,ns,1
all verses find ephraim,,,,,114075620.0,ns,1
all verses find ephraim,,,,,114464698.0,ns,1
all verses find ephraim,,,,,114094099.0,ns,1
all verses find ephraim,,,,,122494166.0,ns,1
all verses find ephraim,,,,,130190886.0,ns,1
all verses find ephraim,,,,,127244035.0,ns,1
all verses find ephraim,,,,,127816177.0,ns,1
all verses find ephraim,,,,,131073674.0,ns,1
all verses find ephraim,,,,,138085619.0,ns,1
all verses find ephraim,,,,,141427674.0,ns,1
all verses find ephraim,,,,,121416759.0,ns,1
all verses find ephraim,,,,,115289181.0,ns,1
all verses find ephraim,,,,,115463286.0,ns,1
all verses find ephraim,,,,,113413664.0,ns,1
all verses find ephraim,,,,,115861549.0,ns,1
all verses find ephraim,,,,,114644710.0,ns,1
all verses find ephraim,,,,,115191789.0,ns,1
all verses find ephraim,,,,,116556910.0,ns,1
all verses find ephraim,,,,,114283508.0,ns,1
all verses find ephraim,,,,,114461230.0,ns,1
all verses find ephraim,,,,,115787481.0,ns,1
