group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
all verses find ephraim,,,,,81322548.0,ns,1
all verses find ephraim,,,,,78501366.0,ns,1
all verses find ephraim,,,,,80129707.0,ns,1
all verses find ephraim,,,,,80437062.0,ns,1
all verses find ephraim,,,,,80219428.0,ns,1
all verses find ephraim,,,,,79468792.0,ns,1
all verses find ephraim,,,,,79788238.0,ns,1
all verses find ephraim,,,,,79884394.0,ns,1
all verses find ephraim,,,,,82118505.0,ns,1
all verses find ephraim,,,,,79730226.0,ns,1
all verses find ephraim,,,,,80414973.0,ns,1
all verses find ephraim,,,,,77901231.0,ns,1
all verses find ephraim,,,,,78963081.0,ns,1
all verses find ephraim,,,,,80258387.0,ns,1
all verses find ephraim,,,,,79887070.0,ns,1
all verses find ephraim,,,,,80610601.0,ns,1
all verses find ephraim,,,,,79818812.0,ns,1
all verses find ephraim,,,,,80876330.0,ns,1
all verses find ephraim,,,,,78777157.0,ns,1
all verses find ephraim,,,,,80035173.0,ns,1
all verses find ephraim,,,,,79859950.0,ns,1
all verses find ephraim,,,,,78548631.0,ns,1
all verses find ephraim,,,,,79550226.0,ns,1
all verses find ephraim,,,,,79351954.0,ns,1
all verses find ephraim,,,,,81233316.0,ns,1
all verses find ephraim,,,,,80313179.0,ns,1
all verses find ephraim,,,,,80132143.0,ns,1
all verses find ephraim,,,,,79983943.0,ns,1
all verses find ephraim,,,,,79252456.0,ns,1
all verses find ephraim,,,,,78914024.0,ns,1
all verses find ephraim,,,,,79037813.0,ns,1
all verses find ephraim,,,,,79908764.0,ns,1
all verses find ephraim,,,,,81408126.0,ns,1
all verses find ephraim,,,,,79698903.0,ns,1
all verses find ephraim,,,,,78187689.0,ns,1
all verses find ephraim,,,,,80442568.0,ns,1
all verses find ephraim,,,,,80610393.0,ns,1
all verses find ephraim,,,,,79657887.0,ns,1
all verses find ephraim,,,,,80369973.0,ns,1
all verses find ephraim,,,,,78175676.0,ns,1
all verses find ephraim,,,,,79128460.0,ns,1
all verses find ephraim,,,,,80189016.0,ns,1
all verses find ephraim,,,,,79011566.0,ns,1
all verses find ephraim,,,,,79704826.0,ns,1
all verses find ephraim,,,,,79116572.0,ns,1
all verses find ephraim,,,,,79932258.0,ns,1
all verses find ephraim,,,,,80255649.0,ns,1
all verses find ephraim,,,,,80189351.0,ns,1
all verses find ephraim,,,,,79781582.0,ns,1
all verses find ephraim,,,,,78909545.0,ns,1
all verses find ephraim,,,,,80906448.0,ns,1
all verses find ephraim,,,,,80850578.0,ns,1
all verses find ephraim,,,,,81067578.0,ns,1
all verses find ephraim,,,,,80937634.0,ns,1
all verses find ephraim,,,,,79613265.0,ns,1
all verses find ephraim,,,,,79210503.0,ns,1
all verses find ephraim,,,,,78401117.0,ns,1
all verses find ephraim,,,,,79226078.0,ns,1
all verses find ephraim,,,,,79774526.0,ns,1
all verses find ephraim,,,,,78539431.0,ns,1
all verses find ephraim,,,,,78357450.0,ns,1
all verses find ephraim,,,,,78986089.0,ns,1
all verses find ephraim,,,,,78963375.0,ns,1
all verses find ephraim,,,,,79315285.0,ns,1
all verses find ephraim,,,,,82382131.0,ns,1
all verses find ephraim,,,,,79323286.0,ns,1
all verses find ephraim,,,,,79443662.0,ns,1
all verses find ephraim,,,,,79323856.0,ns,1
all verses find ephraim,,,,,79582711.0,ns,1
all verses find ephraim,,,,,78824337.0,ns,1
all verses find ephraim,,,,,80550953.0,ns,1
all verses find ephraim,,,,,79131293.0,ns,1
all verses find ephraim,,,,,79403446.0,ns,1
all verses find ephraim,,,,,78474927.0,ns,1
all verses find ephraim,,,,,77569988.0,ns,1
all verses find ephraim,,,,,78611442.0,ns,1
all verses find ephraim,,,,,79128569.0,ns,1
all verses find ephraim,,,,,79387089.0,ns,1
all verses find ephraim,,,,,80400240.0,ns,1
all verses find ephraim,,,,,79598139.0,ns,1
all verses find ephraim,,,,,80039265.0,ns,1
all verses find ephraim,,,,,80445146.0,ns,1
all verses find ephraim,,,,,78242249.0,ns,1
all verses find ephraim,,,,,79817688.0,ns,1
all verses find ephraim,,,,,78172678.0,ns,1
all verses find ephraim,,,,,79239233.0,ns,1
all verses find ephraim,,,,,81103178.0,ns,1
all verses find ephraim,,,,,80252659.0,ns,1
all verses find ephraim,,,,,79823610.0,ns,1
all verses find ephraim,,,,,81815392.0,ns,1
all verses find ephraim,,,,,79459775.0,ns,1
all verses find ephraim,,,,,77914548.0,ns,1
all verses find ephraim,,,,,80169303.0,ns,1
all verses find ephraim,,,,,78730545.0,ns,1
all verses find ephraim,,,,,79406548.0,ns,1
all verses find ephraim,,,,,79270104.0,ns,1
all verses find ephraim,,,,,78350336.0,ns,1
all verses find ephraim,,,,,78372004.0,ns,1
all verses find ephraim,,,,,77954396.0,ns,1
all verses find ephraim,,,,,80143847.0,ns,1
